Provider Name,State,City,Claims Paid for Testing,Claims Paid for Treatment,Claims Paid for Vaccine,Georeferenced Column
WZ PREMIUM INC,NY,BROOKLYN,2200,0,2961,POINT (-73.990996 40.692529)
THE GREATER HUDSON VAL,NY,CORNWALL,233,0,0,
KINNEY DRUGS,NY,POTSDAM,0,0,66,POINT (-74.984933 44.668662)
CENTRAL OHIO PRIMARY C,OH,MARYSVILLE,403,346,40,POINT (-83.366932 40.236413)
OSU INTERNAL MEDICINE,OH,MARYSVILLE,0,13714,0,POINT (-83.366932 40.236413)
DEVOLA VOLUNTEER FIRE,OH,MARIETTA,0,1081,0,POINT (-81.45731 39.419998)
GIANT EAGLE INC TAMARK,OH,MASSILLON,280,0,5410,POINT (-81.522001 40.7968)
MOBILITY HEALTH LLC,OH,MASON,515,40026,0,POINT (-84.309108 39.360251)
SAMARITAN REGIONAL HEA,OH,MANSFIELD,793,357,0,POINT (-82.515469 40.758553)
MARIETTA MEMORIAL HOSP,OH,MARIETTA,432082,807426,40,POINT (-81.45731 39.419998)
PONCA CITY MEDICAL CEN,OK,BELFAST,25,0,0,
MAX CATES MD,OK,OKLAHOMA CITY,0,0,566,POINT (-97.521264 35.468494)
MILLER DRUG,OK,YUKON,440,0,2899,POINT (-97.750528 35.507932)
LEGACY CLINICS,OR,CANBY,48,0,0,POINT (-122.692129 45.262264)
AARNA RX LLC,SC,MAULDIN,0,0,6161,POINT (-82.29695 34.784057)
CLARKSVILLE PHYSICIAN,TN,DOVER,136,0,0,POINT (-87.838341 36.487879)
DEBERRY DRUGS,TN,SELMER,0,0,11215,POINT (-88.59223 35.170067)
HENNACARE LLC,TX,GARLAND,8096,0,0,POINT (-96.636564 32.914343)
TAHA PHARMACY,TX,HOUSTON,0,0,1400,POINT (-95.369506 29.760803)
APTEEK RX,TX,MCKINNEY,960,0,1760,POINT (-96.615024 33.197963)
UTMB FACULTY GROUP PRA,TX,PASADENA,0,0,3120,POINT (-95.193333 29.693379)
KISHAN CHAND,TX,VICTORIA,0,912,0,POINT (-97.006062 28.799192)
SHERN DRUG INC,UT,LEHI,0,0,16577,POINT (-111.849167 40.387876)
ONSITE CARE INC,UT,LEHI,1250,345,0,POINT (-111.849167 40.387876)
PREMIER FAMILY MEDICAL,UT,LINDON,2033,656,0,POINT (-111.723086 40.344688)
PHYSICIAN GROUP OF UTA,UT,LEHI,0,6209,0,POINT (-111.849167 40.387876)
JORDAN VALLEY MEDICAL,UT,LEHI,221294,665564,0,POINT (-111.849167 40.387876)
TAYLOR DRUG OF LINDON,UT,LINDON,480,0,11937,POINT (-111.723086 40.344688)
PREMIER FAMILY MEDICAL,UT,LEHI,2000,874,3440,POINT (-111.849167 40.387876)
INTERMOUNTAIN HEALTHCA,UT,LEHI,0,51,40,POINT (-111.849167 40.387876)
BEAR LAKE COMMUNITY HE,UT,LOGAN,161,0,0,POINT (-111.834857 41.735211)
FOOTHILL FAMILY CLINIC,UT,SALT LAKE CITY,17513,404,2960,POINT (-111.888142 40.758478)
CHRISTOPHER J EVERETT,TX,LIVE OAK,216,50471,0,POINT (-98.339712 29.556564)
AIR EVAC EMS INC,TX,PEARSALL,0,192285,0,POINT (-99.097074 28.889431)
AURORA PHARMACY INC,WI,SHEBOYGAN,0,0,280,POINT (-87.712907 43.75088)
SOUTH TEXAS PATHOLOGY,TX,NEW BRAUNFELS,0,275,0,POINT (-98.119725 29.709884)
FAMILY MEDICINE ASSOCI,TX,LA JOYA,14440,195,2760,POINT (-98.479623 26.247146)
NURSE PRACTITIONER PRO,TX,HOUSTON,1124,0,12865,POINT (-95.369506 29.760803)
LIFELINE URGENT CARE,TX,KATY,216606,34443,0,POINT (-95.816531 29.794857)
PRIVIA MEDICAL GROUP,VA,MC LEAN,226,66,0,POINT (-77.183779 38.937593)
JASON MARTIN MED CONSU,TX,AUSTIN,0,1597,0,POINT (-97.746598 30.264979)
INTERMOUNTAIN HEALTHCA,UT,TAYLORSVILLE,207,609,400,POINT (-111.955295 40.653066)
CASCADE MEDICAL CENTER,WA,LEAVENWORTH,0,80905,506,POINT (-120.66766 47.592797)
AURORA QUICK CARE LLC,WI,PORT WASHINGTON,75,0,0,POINT (-87.875892 43.387419)
SEA MAR COMMUNITY HEAL,WA,TACOMA,35455,8075,0,POINT (-122.44153 47.25308)
PREFERRED RX PHARMACY,WA,VANCOUVER,0,0,4387,POINT (-122.671567 45.631061)
EAGLE LAKE DRUGSTORE,TX,EAGLE LAKE,120,0,22049,POINT (-96.334455 29.588863)
BON SECOURS MEDICAL GR,VA,PORTSMOUTH,0,6462,0,POINT (-76.297735 36.833873)
TOPCARE MEDICAL GROUP,TX,FORT WORTH,71208,11961,12897,POINT (-97.340038 32.739977)
PIONEER PHAMILY PHARMA,TX,ARLINGTON,0,0,3756,POINT (-97.10711 32.735594)
PROFESSIONAL HEALTH SE,WA,PORT ANGELES,0,39,0,POINT (-123.474065 48.128465)
SCENIC MOUNTAIN MEDICA,TX,PORT NECHES,0,394,0,POINT (-93.963619 29.980604)
SYNERGENE LABORATORY L,TX,HOUSTON,369266,5947,0,POINT (-95.369506 29.760803)
U T PHYSICIANS,TX,HOUSTON,0,19541,0,POINT (-95.369506 29.760803)
THEDACARE INC,WI,WEYAUWEGA,316,445,120,POINT (-88.92981 44.317253)
NNA AUSTIN SAN MARCOS,TX,AUSTIN,0,0,97,POINT (-97.746598 30.264979)
APOLLO MEDFLIGHT LLC,TX,AMARILLO,0,289485,0,POINT (-101.832013 35.207009)
TMJ INC,UT,WEST JORDAN,0,0,883,POINT (-111.938765 40.610919)
SENTARA MEDICAL GROUP,VA,NORFOLK,0,30369,0,POINT (-76.285913 36.846164)
FMCA PA,VA,ROANOKE,463,0,0,POINT (-79.940581 37.270496)
SOAS LLC,WA,CLINTON,0,0,80,POINT (-122.355485 47.978242)
JAMSHID MIRZAEI MD PC,WA,PASCO,0,12160,0,POINT (-119.117372 46.241552)
DEAN CLINIC,WI,MIDDLETON,400,0,0,POINT (-89.511526 43.096855)
BANNER HEALTH PHYSICIA,WY,WHEATLAND,71,0,20701,POINT (-104.95327 42.054383)
RIVERTON PHYSICIAN PRA,WY,RIVERTON,0,1707,0,POINT (-108.392051 43.024647)
TORRINGTON COMMUNITY H,WY,WHEATLAND,0,0,73,POINT (-104.95327 42.054383)
GUARDIAN FLIGHT LLC,WY,RIVERTON,0,418663,0,POINT (-108.392051 43.024647)
HOSPITAL PHARMACY,WY,SHERIDAN,821,712,800,POINT (-106.955897 44.795434)
MEMORIAL HOSPITAL OF C,WY,RAWLINS,899,101208,2000,POINT (-107.237628 41.788174)
MEMORIAL HOSPITAL SWEE,WY,ROCK SPRINGS,1120,401751,0,POINT (-109.223373 41.590479)
HOT SPRINGS COUNTY MEM,WY,WORLAND,2044,349,0,POINT (-107.955786 44.016831)
SAGE WEST HEALTH CARE,WY,RIVERTON,132110,461766,1712,POINT (-108.392051 43.024647)
NORTH LINCOLN COUNTY H,WY,THAYNE,0,0,607,POINT (-111.002225 42.917295)
FRONTIER AMBULANCE LLC,WY,RIVERTON,0,15889,0,POINT (-108.392051 43.024647)
BANNER HEALTH PHYSICIA,WY,TORRINGTON,0,1303,0,POINT (-104.182981 42.067992)
BANNER HEALTH PHYSICIA,WY,WORLAND,0,255,0,POINT (-107.955786 44.016831)
HOT SPRINGS COUNTY MEM,WY,THERMOPOLIS,32004,36356,0,POINT (-108.211955 43.646066)
UNIVERSITY OF UTAH ADU,WY,ROCK SPRINGS,3693,12502,0,POINT (-109.223373 41.590479)
BIG HORN,WY,SHERIDAN,10272,14843,42781,POINT (-106.955897 44.795434)
QHC UPSTATE MEDICAL PC,NY,MONTICELLO,2529101,4469,10280,POINT (-74.684913 41.654538)
REGIONAL HEALTH SERVIC,PA,ERIE,89,0,0,POINT (-80.08258 42.127951)
VIRTUA MEDICAL GROUP,NJ,MOUNT HOLLY,0,25659,0,POINT (-74.787917 39.993083)
ADVOCATE HEALTH AND HO,IL,CHICAGO,24,0,0,POINT (-87.632398 41.883229)
EMERGENCY GROUP OF ARI,AZ,PEORIA,1361,1209,0,POINT (-112.237314 33.575086)
DOYLESTOWN MEDICAL ASS,PA,DOYLESTOWN,0,44,0,POINT (-75.130507 40.309997)
SIDDHARTH H SHAH MD PA,FL,HUDSON,0,2069,0,POINT (-82.695462 28.364189)
UNC PHYSICIANS AND ASS,NC,CARY,2830,81,214,POINT (-78.781139 35.791444)
YOUNGS DRUG STORE LLC,AL,LINEVILLE,120,0,9633,POINT (-85.754456 33.310566)
PHYSICIAN GROUP LC,IL,ALTON,0,3504,0,POINT (-90.149352 38.903341)
CENTER FOR REMOTE MEDI,NY,EAST ISLIP,219,0,0,POINT (-73.190852 40.731147)
BRIDGTON HOSPITAL,ME,BRIDGETON,19139,53542,3268,POINT (-70.704289 44.054237)
SANFORD CLINIC,MN,PIPESTONE,0,17227,0,POINT (-96.30752 44.000535)
MCLEOD LORIS SEACOAST,SC,LITTLE RIVER,542906,1485411,0,POINT (-78.626569 33.870387)
UNIVERSITY OF CINCINNA,IN,INDIANAPOLIS,0,62,0,POINT (-86.156212 39.76845)
PALISADES MEDICAL BILL,NJ,CLIFFSIDE PARK,245,0,0,POINT (-73.989073 40.82053)
EPILEPSY AND NEUROPHYS,NJ,SPARTA,0,1454,0,POINT (-74.636612 41.03608)
AGAPE SENIOR PRIMARY C,SC,GALIVANTS FERRY,386,0,0,POINT (-79.246696 34.056099)
LAHEY CLINIC INC,MA,WILMINGTON,56,0,0,POINT (-71.163829 42.558285)
KETTERING MEDICAL CENT,OH,TROY,54613,24434,0,POINT (-84.208058 40.041657)
FAMILY PRACTICE ASSOCI,TN,BRENTWOOD,452,836,0,POINT (-86.778892 35.995514)
COMMUNITY MEDICAL ASSO,KY,PEWEE VALLEY,16,135,0,POINT (-85.487572 38.310497)
COMMUNITY PHYSICIANS O,IN,INDIANAPOLIS,0,9734,0,POINT (-86.156212 39.76845)
SAMARITAN PACIFIC COMM,OR,DEPOE BAY,712,38,2842,POINT (-124.062309 44.811681)
99 PHARMACY INC,NY,ELMHURST,2560,0,1320,POINT (-73.878304 40.736401)
GMUC OF SARALAND,AL,SARALAND,314038,86254,0,POINT (-88.084677 30.81739)
MAT SU EMERGENCY MEDIC,AK,PALMER,21765,16529,0,POINT (-149.122551 61.599411)
QUICK MED URGENT CARE,OH,YOUNGSTOWN,35,0,0,POINT (-80.649387 41.100083)
ACCOUNTABLE TEACHING S,FL,WELLINGTON,0,309629,0,POINT (-80.253838 26.661062)
JEFFERSON UNIVERSITY P,PA,PHILADELPHIA,0,1176,0,POINT (-75.16562 39.951061)
ARIA HEALTH PHYSICIAN,PA,PHILADELPHIA,624,1198,0,POINT (-75.16562 39.951061)
CAROLINA KIDNEY CARE P,NC,FAYETTEVILLE,0,9434,0,POINT (-78.883659 35.054417)
ST MARYS MEDICAL GROUP,IN,EVANSVILLE,0,682,0,POINT (-87.569907 37.975708)
JOHN FITZGIBBON MEMORI,MO,BRUNSWICK,207,0,0,POINT (-93.126829 39.422822)
MATTHEWS DRUG STORE,NC,CLINTON,0,0,4480,POINT (-78.317008 34.996024)
MERCY CLINIC PHYSICAL,MO,FLORISSANT,373,1091,0,POINT (-90.322755 38.789013)
HEMATOGENIX LABORATORY,IL,TINLEY PARK,350614,48187,0,POINT (-87.784288 41.573246)
FAMILY HEALTH CARE OF,OH,VAN WERT,5596,1667,2254,POINT (-84.575518 40.861623)
REFUGEE CANYON JOINT F,OH,HEBRON,0,853,0,POINT (-82.491457 39.962302)
ATALLA MEDICAL GROUP,CA,SAN FERNANDO,86051,2236,0,POINT (-118.441744 34.282984)
MACON COMMUNITY HOSPIT,TN,LAFAYETTE,250478,146355,211,POINT (-86.027064 36.524484)
ALTAMED HEALTH SERVICE,CA,SOUTH GATE,200446,13320,8022,POINT (-118.206087 33.954211)
NORTHEAST MEDICAL GROU,CT,WESTPORT,82,295,0,POINT (-73.353182 41.14044)
KEYSTONE MEDICAL SERVI,NY,BROOKLYN,809,327,0,POINT (-73.990996 40.692529)
FMS ATLANTIC HEMODIALY,NY,JACKSON HEIGHTS,0,0,80,POINT (-73.7453 42.016701)
HUDSON RIVER HEALTHCAR,NY,SHIRLEY,18228,11836,0,POINT (-72.867688 40.801229)
COUNTY OF SANTA CRUZ,CA,SANTA CRUZ,15448,743,25133,POINT (-122.028795 36.97414)
WESTERN NEW YORK MEDIC,NY,CANANDAIGUA,116,482,0,POINT (-77.282497 42.887495)
ASSOCIATED PHYSICIANS,MA,BOSTON,62594,14169,0,POINT (-71.056742 42.358894)
ST PAUL PLACE SPECIALI,MD,COCKEYSVILLE,40,29,0,POINT (-76.630743 39.474209)
PROMEDICA CENTRAL PHYS,OH,PERRYSBURG,468,3479,480,POINT (-83.627836 41.557114)
CLIFTON SPRINGS HOSPIT,NY,ROCHESTER,590,118,0,POINT (-77.612547 43.155708)
AMG ILLINIOS,IL,GURNEE,28,55,0,POINT (-87.924192 42.375508)
LEVINS PHARMACY INC,NY,OCEANSIDE,840,0,2648,POINT (-73.633948 40.642019)
COUNTRYSIDE REHAB AND,FL,PALM HARBOR,0,95384,0,POINT (-82.761963 28.079017)
THE EMORY CLINIC,GA,DULUTH,0,1830,0,POINT (-84.145552 34.003794)
FLOWOOD RIVER OAKS HMA,MS,JACKSON,1462,260,0,POINT (-90.183488 32.302897)
URGENT CARE OF OCONEE,GA,WATKINSVILLE,149062,44582,8053,POINT (-83.409173 33.863067)
IHA HEALTH SERVICES CO,MI,HAMBURG,1771,459,0,POINT (-83.800137 42.448969)
PARMET INC DBA METCALF,KY,EDMONTON,40,0,348,POINT (-85.612293 36.980098)
UPMC ALTOONA,PA,ALTOONA,1585,967,0,POINT (-78.401444 40.516403)
ARIZONA ACUTE MEDICAL,AZ,PHOENIX,0,12622,0,POINT (-112.072585 33.448204)
PULMONARY PHYSICIANS O,FL,CORAL SPRINGS,0,114,0,POINT (-80.254183 26.27251)
PIEDMONT PHYSICIAN NET,SC,ROCK HILL,104,59424,0,POINT (-81.0301 34.94133)
BAPTIST MEMORIAL MEDIC,MS,OXFORD,103,27089,360,POINT (-89.518625 34.3668)
SUTTER BAY MEDICAL FOU,CA,BERKELEY,291,0,69,POINT (-122.270455 37.869058)
CHILDRENS COMMUNITY PE,PA,WASHINGTON,245,0,0,POINT (-80.245438 40.170885)
MADISON COUNTY MEMORIA,IA,WINTERSET,21000,25431,645,POINT (-94.013379 41.33449)
STEWARD PGH INC,FL,HIALEAH,12419,55463,0,POINT (-80.281502 25.827202)
ONE MEDICAL,CA,SAN FRANCISCO,3,0,0,POINT (-122.420168 37.78008)
ALEXANDRIA IMMEDIATE C,MD,COLUMBIA,15122,302,1200,POINT (-76.869905 39.213641)
SCPG ARKANSAS LLC,AR,HEBER SPRINGS,3320,0,65296,POINT (-92.030201 35.491487)
APPALACHIAN MOUNTAIN C,NC,ASHEVILLE,9556,289,8726,POINT (-82.550039 35.595889)
PINNACLE HEALTH HOSPIT,PA,CARLISLE,0,7164,0,POINT (-77.189095 40.201476)
MERCY CLINIC ADULT HOS,MO,SAINT LOUIS,0,9,0,POINT (-90.200309 38.630276)
URGENT TEAM OF ARKANSA,AR,RUSSELLVILLE,35952,4936,200,POINT (-93.133722 35.278146)
SHELBY MEMORIAL HOSPIT,IL,SHELBYVILLE,5255,1920,200,POINT (-88.805835 39.406538)
APOGEE MEDICAL GROUP T,TN,LEBANON,0,1963,0,POINT (-86.306476 36.213087)
HART MEDICAL CONSULTIN,PA,PITTSBURGH,3411,0,7171,POINT (-79.994945 40.442169)
CARE ALLIANCE HEALTH C,OH,CLEVELAND,34663,0,0,POINT (-81.6915 41.505546)
MERCY HEALTH PARTNERS,MI,HART,0,158,40,POINT (-86.363571 43.703123)
REGIONAL MEDICAL CENTE,CA,SAN JOSE,1744055,3159336,0,POINT (-121.888128 37.334807)
GREEN HILLS PHARMACY,TN,NASHVILLE,400,0,1080,POINT (-86.779932 36.166687)
ASSOCIATED GEN SURGEON,CA,SANTA MONICA,0,110,0,POINT (-118.491512 34.010932)
COASTAL CHILDRENS CLIN,NC,NEW BERN,16745,1187,17628,POINT (-77.04612 35.108318)
HEALTHY CONNECTIONS IN,AR,ARKADELPHIA,51,0,0,POINT (-93.053523 34.120959)
SACRED HEART HEALTH SY,FL,PANAMA CITY BEACH,227,0,26090,POINT (-85.889339 30.230503)
FULLERTON RADIOLOGY ME,CA,ANAHEIM,0,349,0,POINT (-117.915638 33.834492)
THOMASTON PHARMACY PLL,CT,THOMASTON,40,0,4480,POINT (-73.073189 41.674124)
UNIVERSITY COMMONS PHA,IN,SOUTH BEND,40,0,1213,POINT (-86.251962 41.675032)
VILLAGE OF GURNEE,IL,ELMHURST,0,21816,0,POINT (-87.939953 41.902162)
LAHEY PHYSICIAN COMMUN,MA,DANVERS,4133,1214,0,POINT (-70.935673 42.565456)
PALMETTO HEALTH USC ME,SC,COLUMBIA,1297,49860,1640,POINT (-81.037094 34.009286)
RAYMORE URGENT CARE LL,MO,RAYMORE,4517,5776,0,POINT (-94.452924 38.804127)
PATHOLOGY CONSULTANTS,FL,PEMBROKE PINES,1937,7210,0,POINT (-80.279747 26.006156)
MERCY HOSPTIAL MEDICAL,FL,MARGATE,0,810,0,POINT (-80.204917 26.242534)
ROBERT WOOD JOHNSON VI,NJ,NORTH BRUNSWICK,0,6390,0,POINT (-74.464761 40.468905)
SMITH TOWNSHIP VOLUNTE,OH,JACOBSBURG,0,508,0,POINT (-80.904404 39.965)
HEALTHY WINGS LLC,AZ,TEMPE,931,0,0,POINT (-111.941253 33.425522)
SOUTHWESTERN MICHIGAN,MI,KALAMAZOO,155479,46321,0,POINT (-85.584682 42.289777)
MAURY REGIONAL MEDICAL,TN,WAYNESBORO,391,648,0,POINT (-87.761036 35.320568)
SUNG S  YANG MD INC,HI,KAILUA,7880,0,0,POINT (-157.736222 21.399719)
AGAPE SENIOR PRIMARY C,SC,UNION,1005,0,0,POINT (-81.626052 34.72124)
TRICOREX INC,IL,SPARTA,0,508,0,POINT (-89.701917 38.124023)
COOPER CARE REHAB,NJ,PENNSAUKEN,0,6529,0,POINT (-75.056054 39.964412)
SAINT LUKES PHYSICIAN,MO,INDEPENDENCE,0,184,0,POINT (-94.412017 39.093659)
SINGING RIVER HEALTH S,MS,GULFPORT,5300,1511,0,POINT (-89.091582 30.369834)
JDUB PHARMA,CA,VENTURA,0,0,2739,POINT (-119.293107 34.280832)
EASTERN RADIOLOGISTS,NC,GREENVILLE,1001,6581,0,POINT (-77.3741 35.611332)
GPS PHYSICIAN GROUP OF,NJ,PISCATAWAY,0,1175,0,POINT (-74.474116 40.543875)
FINLEY HOSPITAL,IA,DUBUQUE,741,1273,1264,POINT (-90.667314 42.505512)
SANFORD CLINIC NORTH,ND,MAYVILLE,737,969,638,POINT (-97.324384 47.498067)
FACEY MEDICAL FOUNDATI,CA,IRVINE,228734,15991,0,POINT (-117.824719 33.685908)
EWING PHARMACY LLC,NJ,EWING,0,0,19366,POINT (-74.800689 40.268811)
SACRED HEART HOSPITAL,FL,WEWAHITCHKA,109,0,0,POINT (-85.200265 30.112704)
CITY MEDICAL GROUP INC,CA,LOS ANGELES,0,0,15100,POINT (-118.243344 34.052238)
PLAINFIELD FIRE PROTEC,IL,PLAINFIELD,0,6645,0,POINT (-88.20075 41.608547)
SHORE HEALTH SYSTEM,MD,EASTON,91584,326048,0,POINT (-76.068527 38.773916)
MERCY CLINIC FORT SMIT,AR,OZARK,399,414,0,POINT (-93.827202 35.486907)
CROSSROADS URGENT CARE,TN,MURFREESBORO,5878,235,0,POINT (-86.391449 35.845963)
HARRIS TEETER LLC,NC,CHAPEL HILL,0,0,88155,POINT (-79.055474 35.910262)
FAMILY DRUGS OF INDIAN,FL,INDIANTOWN,80,0,34822,POINT (-80.471029 27.02343)
PREMIER IMAGING,NC,HIGH POINT,0,20,0,POINT (-80.003935 35.953972)
NEIGHBORHOOD HEALTH CE,OR,BEAVERTON,1325,0,0,POINT (-122.795841 45.48652)
NORTHERN MONMOUTH COUN,NJ,PARLIN,0,3279,0,POINT (-74.3386 40.461899)
MERCY CLINIC SPRINGFIE,MO,JOPLIN,0,313,0,POINT (-94.512248 37.087628)
GOSHEN MEDICAL CENTER,NC,GOLDSBORO,205829,24589,40,POINT (-77.999032 35.386634)
VERMILLION PARKE COMMU,IN,BLOOMINGDALE,73,220,0,POINT (-87.250275 39.832358)
MORRISTOWN EMERGENCY M,NJ,MORRISTOWN,389519,67343,0,POINT (-74.481595 40.79664)
MURRELET EMERGENCY PHY,AR,MALVERN,21076,1184,0,POINT (-92.812347 34.362369)
AGAPE SENIOR PRIMARY C,SC,ORANGEBURG,120,0,0,POINT (-80.863927 33.487414)
CAVANAL HILL EMERGENCY,OK,CLAREMORE,28210,9408,0,POINT (-95.61658 36.313969)
MILFORD REGIONAL MEDIC,MA,MILFORD,129901,84847,932,POINT (-71.51683 42.14287)
ISLAND MEDICAL LOE LLC,NM,CARLSBAD,3661,11321,0,POINT (-104.227819 32.412716)
WEST JEFFERSON HOSPTIA,LA,MARRERO,47104,18202,0,POINT (-90.113961 29.889449)
ESSENTIA HEALTH WEST,ND,HANKINSON,11243,831,40,POINT (-96.902033 46.06613)
DLP FRYE MEDICAL GROUP,NC,RUTHERFORDTON,0,436,0,POINT (-81.957345 35.367091)
EAST LA EMERGENCY PHYS,CA,LOS ANGELES,39977,14147,0,POINT (-118.243344 34.052238)
BOSTON CHILDRENS HEALT,NY,NEW CITY,1511,0,0,POINT (-73.989429 41.147418)
PRESCOTT UROLOGY LTD,AZ,PRESCOTT,300,0,0,POINT (-112.470124 34.541445)
COMMUNITY PHYSICIANS G,OK,LOCUST GROVE,714,373,0,POINT (-95.168866 36.199842)
BUENA SALUD LLC,MI,DETROIT,0,0,69289,POINT (-83.047853 42.332916)
EMERGENCY MEDICAL TRAN,MA,WORCESTER,0,15267,0,POINT (-71.802278 42.262073)
WATSON CLINIC LLP,FL,LAKELAND,1925,5199,0,POINT (-81.954113 28.040507)
CHEST AND SLEEP MEDICI,IL,LIBERTYVILLE,0,50334,0,POINT (-74.654329 41.239818)
SOUTHEASTERN PHYSICIAN,TN,JOHNSON CITY,0,282,0,POINT (-82.342538 36.320614)
BAPTIST HEALTH MEDICAL,FL,MIAMI BEACH,0,867,0,POINT (-80.134852 25.792236)
UNIVERSITY MEDICAL CEN,AL,NORTHPORT,303,76,0,POINT (-87.577129 33.229298)
NORTHEAST MEDICAL GROU,CT,WESTBROOK,0,0,560,POINT (-72.441654 41.283357)
DUKE UNIV AFFIL PHYSIC,NC,CARY,3523,737,398,POINT (-78.781139 35.791444)
ALTRU HEALTH SYSTEM,MN,WARROAD,6955,357,400,POINT (-95.314404 48.905266)
PARKVIEW PHYSICIANS GR,IN,FORT WAYNE,73,0,0,POINT (-85.137495 41.077474)
ICH EPG ALLIANCE LLC,KY,STANFORD,26151,2984,0,POINT (-84.661888 37.53119)
ST FRANCIS MEDICAL GRO,IN,GREENWOOD,191,73481,0,POINT (-86.117876 39.613576)
MIDWEST PULMONARY CRIT,IL,OAK LAWN,828,263837,0,POINT (-87.750562 41.719979)
EQUITAS HEALTH,TN,CHATTANOOGA,381,0,0,POINT (-85.308287 35.045756)
MERCY CLINIC PHYSICAL,MO,O FALLON,217,249,0,POINT (-90.699957 38.808644)
CMC DEPARTMENT OF MEDI,NJ,CHERRY HILL,0,110,0,POINT (-75.030928 39.925801)
SOMA MEDICAL CENTER PA,FL,LAKE WORTH BEACH,0,0,1011,POINT (-80.058568 26.609859)
MAGNOLIA CARDIOVASCULA,MS,CORINTH,0,1620,0,POINT (-88.520628 34.934366)
COMMUNITY MEDICAL ASSO,KY,LOUISVILLE,629,81936,806,POINT (-85.751569 38.256078)
SYMBRIA RX SERVICES GR,OH,BEACHWOOD,0,0,58000,POINT (-81.49784 41.479306)
